item_id,name,image_id,flavor
721bd5a1-d24c-478b-91b2-c029e853e15b,Robert Winston,2c1c92d7-2d6b-45d2-b564-ea4a4462aacd,721bd5a1-d24c-478b-91b2-c029e853e15b
bc53df37-3e88-48cf-aaa1-37a2bd207550,Reichsprasident Von Hindenburg,e398973b-12f9-44e8-aeec-3998617e788e,bc53df37-3e88-48cf-aaa1-37a2bd207550
360e2889-955d-4407-8c95-3dd1aa9101ee,Blanche Neige,30f09af1-a0bc-42ed-903f-cf23df91bba1,Good
95bd5a3f-8440-4267-99a6-f202a302c633,Golden Giant,bb7720ed-ff48-439b-a523-939913a79b38,Hybrid tea
109573cf-808f-467b-95de-bfe84ba3eb3d,Pohjolan Kuningatar,41edbc48-af7f-43fe-b0b1-72fefa3769b7,Showy
c2e14253-2463-493d-af86-bb9a4a1734f3,Smiley Face,daf78662-cc44-4d83-a489-a3adcd82dcc6,Strong
ba6869d6-c9a7-4e3d-acef-0548252eb8ff,Piptocalyx,50ca1e00-ae04-4952-bfa7-ab46c44351fa,ba6869d6-c9a7-4e3d-acef-0548252eb8ff
1c672b21-f107-49fb-bbed-dfcc9da9150e,Baby Masquerade,,Deciduous
31fd81a4-f26f-408b-b40f-10be34f51437,Hi Ho,e8c1699b-ecc4-45b3-a066-a61a72f1fbf2,Miniature
5827588a-a3f3-49c2-9cae-87c78674ed63,Sexy Rexy,,Shrub
b99f8334-bad9-41e6-8e2e-1a03522dfe6f,The Poet,1cff56cd-da07-4656-96a6-175190073174,b99f8334-bad9-41e6-8e2e-1a03522dfe6f
63825fd8-71dd-4aaa-ad76-d816fa34620a,Reine Des Violettes,,3-6 feet
fb76a551-161f-4b3d-9169-deacabaf6ef8,Lemon Meringue,91b837e3-6c15-4e50-a4bf-79fff737d881,4-5 feet
ffea05b2-44b7-490b-8345-917d6ae55863,Harriny,c0a65214-082a-4db8-baab-ec72980c3db4,Medium pink
70691cbe-4da3-4592-acd7-f178e8932556,Heckenfeuer,,70691cbe-4da3-4592-acd7-f178e8932556
103240cc-09fa-4f8a-9811-b464d08aa68f,Sidonie,b0df0fdf-5e14-415f-8e0f-a231e30a7d44,Deciduous
1f0aa26d-ca0d-425b-ac83-0a416d82949e,Sir Walter Raleigh,24b15bb7-bce5-4bad-855f-b4b782043b98,Deciduous
f0c7f411-7181-4221-8c48-c58a65a5bd67,Jean Ducher,c9552b4d-06ac-4cfa-b240-bc5877df4e74,Jean Ducher
8f18943f-415a-4fc2-a5d0-91bceb5b15f5,Classic Woman,,Showy
efedcb5e-c32f-4fb5-8108-66bd348975d7,Ginger Syllabub,9ee7a361-2be7-4e94-8dd3-415fbafcd7f9,Strong
dc4e0fb7-6c61-4afe-b979-1b8ea23f7abf,Little Red Run Around,42b2543c-fd65-44b8-841a-b546bb61502a,Perennial
cd6cd094-0099-475a-9164-0c8d4752d2f6,Rosie ODonnell,2c27640f-d64f-4a70-9204-7a8caaa2d994,Shrub
91424748-6ab5-4cd7-9201-2d20f26ec70b,Nutkana Var Hispida,ca0f6651-69d1-4573-aa1c-5eefe251aac4,Perennial
a1ecc2f0-d406-4bda-afb3-54c5bd4c5cbf,Acicularis,befe99df-e44a-494d-8693-741f87198dfd,Moderate
ba942509-2e1e-4029-b19b-4a4394aa6822,Novalis,726a12d7-37b1-438a-9c2a-169919e8e240,ba942509-2e1e-4029-b19b-4a4394aa6822
db54b3ca-cedb-4e84-804d-20579700119e,Pink Leda,7e9e6020-0628-4b38-9749-c247c407bce6,None
97a8e6be-8de2-494b-9934-009d2ba13ce5,Madame Massot,,Shrub
0faa80f6-393f-4363-aeb4-f94f02bb88c9,Lava Gold,f222bec4-cc52-46e7-b912-4d1a3f4e520a,Perennial
8ee2ab17-5be5-4515-8fb1-a35763604bac,Orange Sunblaze,,Orange Sunblaze
4d8cbaf8-e977-44ba-8dc9-69ef19c20874,Porcelaine De Chine,b94492a6-fc7b-4aa9-9400-be7ebf1bbce7,4d8cbaf8-e977-44ba-8dc9-69ef19c20874
a44f5b65-b698-40b6-8c7c-4cb0d98fa4f7,Peacekeeper,,High-centered
097a564c-0fef-44cd-8591-80c9ff132729,White Cloud,,Bees
ebe694df-a92f-4e4d-a242-1420020e0c09,Conquerors Gold,1b199cbf-2c60-4405-be95-dfe61246238d,Showy
5397c05a-93ba-4569-8954-384d0d9bb48a,Maggie,609c2be5-d07e-422e-9ad6-515d9ba863c0,8
365a4409-44e9-40e3-be2f-577fac965e0b,Night Owl,025a614d-dc36-4569-b329-664d59f8fbb9,Night Owl
f837004a-3138-49ef-bd8e-273fb6138573,Madhatter,bb46dbe0-d10c-4ec0-a374-19bf73d1af8b,Perennial
f98095c8-749d-47ce-8f91-a09894f77c61,Tresor Du Jardin,1dfcdc1a-a796-4d0d-8aaa-86f68f0d13d9,Shrub
aeb04387-3f9d-4b0a-ae24-24668aed9204,Tranquility,a53d772c-b1ef-4aee-8ae3-1c7d428e4f0d,2-3 feet
a945130d-668b-4662-a3bb-d2c573b637a0,Petit Pink,9f22157a-0d12-4a9b-adab-b0427757d79c,Perennial
56d66fe9-1d72-4f02-a155-bdeb20fd0954,Magenta Floorshow,94719275-25b4-4974-a5d8-b025b8be63be,Magenta Floorshow
ef51a9ef-6ab7-4e4c-b060-7f5ceb0bd987,Rosenfee,,2-4 feet
216a113b-ee42-4452-9242-91d6f805bd15,Improved Cecile Brunner,c71e1c60-3d1d-4491-affa-3d2c0db777f8,1453
cdeea4de-6973-4eaf-a3f2-3126475f415a,Magic Dragon,d1a19eb2-00a9-4935-957a-a246e3a9c62c,Showy
37308854-d33a-4568-a835-a5d7f91856d4,Lady Hillingdon,7d78840d-2390-45e1-a99e-8779cee55fb8,Lady Hillingdon
93c2bde5-a0e0-440a-92fb-9991b14a0ac0,Neon Lights,337b4389-c1f7-4f80-8a7e-33fb7afb7373,Strong
ea6947ef-bc85-4a1d-83a8-79e1468cdf81,Pompon Flower Circus,,Showy
1014a35a-256c-44b6-9e81-f02e9b1c9a91,Rhodophile Gravereaux,347c64f2-a04e-4ae8-a080-3e1494480d48,1014a35a-256c-44b6-9e81-f02e9b1c9a91
90cf3fe3-bba1-4dcc-ab64-9724ecff7f9d,High Esteem,836f1452-2d84-4570-bd18-f07731d311e1,Showy
261561b9-6e11-4067-b9c0-411d603f49ee,Mon Petit Chou,,Perennial
eb341a11-f769-4ad0-b78a-d75724cc9cc9,Puppy Love,4e1a01d0-2fc5-4f92-93a7-7f9c833ac6a3,Bees
5b0ea0a3-8261-4cdc-b0bd-ace0eba8d5e6,Jalitah,4471f713-1d28-403e-80b8-027b7988efd3,Showy
93c9240f-16eb-4a5e-bd7f-a3ef6947e0aa,Pink Cloud,17b878f8-eef2-43fd-8ed1-484c1783db57,Good
e1452108-cd85-451c-931b-5ba7f305253a,Lady Kathryn,4338feb2-906c-473f-88ef-2fd37756cf5e,e1452108-cd85-451c-931b-5ba7f305253a
c10bb8de-ab5d-4a76-95bf-316be9ddb58b,Pink Wonder,,Bees
fc20fa7f-b898-48d5-89d0-702476be4f47,Robbie Burns,1a9335d0-fcd7-40e7-97c2-5ff679a4d1e6,Pink
e75dbaee-e404-48ca-be7e-a16e9684737d,Blaze Of Glory,6be84775-9d86-4d24-bc73-5bb77cf4a8fe,3174
bf4d27e0-58da-40e0-9a11-533f76ffb7b0,Irene,de4379c4-5385-462d-aa9e-a063e29725c1,Shrub
cc44b941-f8c9-4382-a7cb-db1bbd62b0dc,Pauls Pride,c4bad78b-558e-4408-8878-36e72bb1212c,4-5 feet
cea888dc-f156-4bd1-9998-310c82934f44,Red Sunblaze,,Perennial
6f3c486f-c116-45e3-9152-418ee60c0b83,Sophys Rose,273cafe6-1037-4b7b-b718-e3ed3de42914,Full Sun
9195b8dc-206c-48c4-84cd-4fa925897193,Magic Beauty,0107b8bb-539d-4769-b2e9-d8c6f63bcbaa,Bees
688a666d-640a-4a89-ad40-727f2c909d06,Satchmo,c265b511-9126-488f-8926-b1063b6684e6,Deciduous
12c211b7-f7b7-4717-abc9-cc96351ecab2,Andrea,30f01daa-60d5-49af-97df-e9afef3cbf83,2
f26b2a47-a828-483b-9b87-eec0b6b25146,Monsoon,92301cac-c4e9-42b9-b2a6-313a2008eeff,Good
e1f18758-35c9-4547-b269-ed17dff859a5,Shinju,3c5af5ed-32ba-47a9-9d18-4cdfe5daa7a8,Full Sun
bd392f0a-a69b-4449-9e03-bde3e648a474,Emi,99b9da10-c4a7-462d-bfa1-6042dc71048f,Floribunda
36d16ebe-96f6-4215-950e-14beb8f49a06,Mr Chips,8fb4b7e7-ea3a-4254-a694-254d923fc6db,775128
2f0965f0-c0db-4cc3-8ef5-81ea45d77266,Horatio Nelson,186cfe5c-2ad1-4f97-a871-9120465546fe,2-4 feet
fa797aea-aa7a-4f52-b615-a5a1d3958b62,Little Sunset,c65a5850-dd84-4540-8bc6-ca72ed8aff59,10-16 inches
7da15d46-3963-40f7-89fa-a622260712e7,Snowbird,4770d597-b75a-45d5-89e0-ce8c599dccd9,Hybrid tea
a8474651-e1c0-4d85-bd67-d89f129d7b39,Sven,dd10088e-34d5-4294-b6ec-9b1d01c38026,Deciduous
a127277d-1b3a-4d62-a9f2-404e6401a625,Paco Rabanne,8167b01a-beb3-4668-91fb-4058fe686618,Bees
5c8104fd-2ee9-4260-bef5-722d19db1d0d,Bad Ems,,Perennial
50e500de-2572-4079-832a-1e3f321892b1,Purple Rain,,Shrub
4ea7a1fa-47e9-4981-8eb5-6fd14ce297ab,Iluse,30d9a5d1-4e3e-49d7-9bfe-076104957c61,4041
8a55a43b-f3a1-4afb-b14e-435384a046cf,Piera Rose,,Showy
76fdc729-745b-46f9-a9df-928553b90bfd,Wee Jock,,3054
dda0d923-ce9e-4762-8907-c01e74602f80,Jilly Jewel,,Deciduous
0062743c-ae79-49aa-8895-35e90c2ba407,Pompon De Paris Cl,,Full Sun
d4abf04c-8803-4e94-97df-ac5ebd2638bb,Mothers Rose,628cd4d2-3ecc-458e-9a95-0df33211119a,5-6 feet
f6d23612-3717-4b3b-bdf4-5e27e9d45687,Lady Sadie,,3 feet
a2133972-bbf3-4c58-a072-eb9f58a7fcfb,Rosa White Out,,2-3 feet
fd6e3d97-bfda-465d-b5e4-0d1298c0a7c6,Laetitia Casta,0d5436e7-b41c-4b81-8eaf-eec5ba9f64c0,Shrub
8e16bc86-b60d-49fa-8f4f-100fa3a0a75e,Sir Cedric Morris,8a212bee-5d3f-4fa7-8fec-ffdd611be384,1
f82d40e4-75eb-4cdf-9428-dfeb2f32d5ec,Courage,d432c593-b7c5-439e-a5e4-49249e3425bd,Full Sun
ba68288a-025d-4a83-8a9f-2e3a66a4d464,Sorcerer,,Medium red
e70fcc8b-6721-4000-bfb1-2e1322201d63,Ring Of Fire,,Orange and orange blend
db6e1bd9-4fef-4760-b206-27832fe1e0a1,Soft Whisper,bfa9f552-6d91-4f3f-9380-8a224ab2e7da,6
f64d0b98-eae2-43fe-8d03-04d8b8ddb786,Mousseux Ancien,806391fd-fc69-480c-bc69-7c2994478222,Pink blend
8a202c3c-589a-4adc-b383-3a5310d57194,Sweet Sue,0d3e3515-5f41-46b4-9292-4c45e0d59be3,6-12 inches
8cc6f95f-b5ef-4e0a-b6f9-6eaad5be0e6c,Clementina Carbonieri,,3-4 feet
8214ef73-bd09-49ec-ac90-f85624d40058,Shawn Sease,8ba455f1-a71c-4872-add2-814dda6fa680,2-3 feet
91cc1b67-274d-40ce-9bf1-25874c18dea5,Mrs Norman Watson,106c525c-9968-4e52-9283-d84b888c1e3d,Good
e07c7588-7161-4c6a-9e14-2e42f7f4038f,Dusky Dancer,7895a209-eb49-49e8-bc59-3c8af53098a4,2-5 feet
7f8945c1-e28a-4e04-a5f3-2437ef90ab1f,Safari Freelander,0b8792bd-3e0c-4c99-9f5f-f1aa0f80cdd8,Safari Freelander
7bb26ccb-e30f-41f6-8a76-96f2e4f2f078,La Mortola,9225b687-1089-430c-9f43-756981981ec2,White
ba51b972-6f83-4c32-9dbe-dc1e0f2ca4b9,Parkzauber,a5dd3939-7b73-480c-9f13-1d0fba483dbb,Perennial
e40d05f6-f468-4b36-b1ce-5ae6f15a1b8e,Sierra Glow,d3249387-3f3a-434f-94a6-e25fa205f328,Full Sun
d1f30e44-c071-40ba-8b22-dcbac7348de7,Rose De La Petite Chabote,9e2f1217-bc0b-4ebf-a1d2-2d4ea79ff0e5,"Medium, 3-4 feet, bushy"
91adefb2-f5d7-4f9f-b2eb-16d98127c535,Marinette,,Marinette
b5c3f044-b526-41ac-8ee3-76d3591087f7,Portlandia,970bd3f4-2b66-4ec9-8897-1af35db9fe55,14
eece9fb7-4482-49b6-8a7b-b75d9f54e18f,Pompon Blanc Parfait,a262b3a4-92f6-49dc-8a9e-effcdf0270de,Cupped
beb9043d-6fc3-413d-a2be-b539d9628b0b,Flower Carpet PInk Supreme,f9a162eb-bccc-43be-87b5-644b5b3049f7,2-3 feet
8040c7db-f789-418e-a25a-de9c6c892550,Leander,45566d5c-f3d0-4b00-be7b-1b46a060ef6c,11
